FOCUS Dimension,Transform Step,Source Column,Source Column Type,Transform Type,Filters/Process/Etc.
AvailabilityZone,0,Not Defined,Not Defined,Not Defined,Not Defined
ChargeDescription,0,Not Defined,Not Defined,Not Defined,Not Defined
CommitmentDiscountCategory,0,Not Defined,Not Defined,Not Defined,Not Defined
CommitmentDiscountName,0,Not Defined,Not Defined,Not Defined,Not Defined
CommitmentDiscountType,0,Not Defined,Not Defined,Not Defined,Not Defined
ConsumedQuantity,0,Not Defined,Not Defined,Not Defined,Not Defined
ConsumedUnit,0,Not Defined,Not Defined,Not Defined,Not Defined
EffectiveCost,0,Not Defined,Not Defined,Not Defined,Not Defined
ListUnitPrice,0,Not Defined,Not Defined,Not Defined,Not Defined
SkuId,0,Not Defined,Not Defined,Not Defined,Not Defined
SkuPriceId,0,Not Defined,Not Defined,Not Defined,Not Defined
BilledCost,1,Volume Cost,Not Defined,RENAME_COLUMN,
BillingAccountId,1,Account Owner ID,Not Defined,RENAME_COLUMN,
BillingAccountName,1,Account Name,Not Defined,RENAME_COLUMN,
BillingCurrency,1,Currency,Not Defined,RENAME_COLUMN,
BillingPeriodEnd,1,BillingPeriodStart,Not Defined,MONTH_END,
BillingPeriodStart,1,Billing Month,Not Defined,PARSE_DATETIME,%Y-%m
BillingPeriodStart,2,BillingPeriodStart,Not Defined,ASSIGN_UTC_TIMEZONE,
ChargeCategory,1,NA,Not Defined,ASSIGN_STATIC_VALUE,"static_value: Usage
"
ChargeFrequency,1,NA,Not Defined,ASSIGN_STATIC_VALUE,"static_value: Usage-Based
"
ChargePeriodEnd,1,Created Time,Not Defined,RENAME_COLUMN,
ChargePeriodStart,1,Billing Month,Not Defined,PARSE_DATETIME,%Y-%m
ChargePeriodStart,2,ChargePeriodStart,Not Defined,ASSIGN_UTC_TIMEZONE,
CommitmentDiscountId,1,Discount ID,Not Defined,RENAME_COLUMN,
InvoiceIssuer,1,NA,Not Defined,ASSIGN_STATIC_VALUE,"static_value: IBM Cloud
"
ListCost,1,Original Cost,Not Defined,RENAME_COLUMN,
PricingCategory,1,NA,Not Defined,ASSIGN_STATIC_VALUE,"static_value: Standard
"
PricingQuantity,1,Usage Quantity,Not Defined,RENAME_COLUMN,
PricingUnit,1,Usage Unit,Not Defined,RENAME_COLUMN,
Provider,1,NA,Not Defined,ASSIGN_STATIC_VALUE,"static_value: IBM Cloud
"
Publisher,1,NA,Not Defined,ASSIGN_STATIC_VALUE,"static_value: IBM Cloud
"
RegionId,1,Region,Not Defined,RENAME_COLUMN,
ResourceId,1,Instance ID,Not Defined,RENAME_COLUMN,
ResourceName,1,Instance Name,Not Defined,RENAME_COLUMN,
ResourceType,1,ResourceId,Not Defined,STRING_FUNCTIONS,"{'steps': [{'operation_type': 'split', 'split_by': ':', 'index': 4}]}"
ServiceCategory,1,ResourceType,Not Defined,LOOKUP,"destination_value: ServiceCategory
reference_dataset_path: conversion_configs/ibm/mapping_files/ibm_category_mapping.csv
source_value: ResourceType
"
ServiceName,1,Service Name,Not Defined,RENAME_COLUMN,
SubAccountId,1,Account Owner ID,Not Defined,RENAME_COLUMN,
SubAccountName,1,Account Name,Not Defined,RENAME_COLUMN,
